,Pittsburgh,New_York,Dallas
FMPC 0: carbohydrate binding domain-containing protein ,0.433823529,0.338095238,0.551020408
FMPC 1: carboxypeptidase regulatory-like domain-containing protein ,0.525452489,0.293333333,0.469387755
FMPC 2: *hhblits annotated* Bbp10  db:Pdp70 e-value:3.2e-05 ,0.464366516,0.302857143,0.346938776
FMPC 3: SDR family NAD(P)-dependent oxidoreductase ,0.518665158,0.312380952,0.489795918
FMPC 4: phage tail tape measure protein ,0.539309955,0.464761905,0.673469388
FMPC 5: SNF2-related protein ,0.494909502,0.47047619,0.612244898
FMPC 6: carboxypeptidase-like regulatory domain-containing protein ,0.410633484,0.343809524,0.673469388
FMPC 7: phage tail tape measure protein ,0.515837104,0.598095238,0.367346939
FMPC 8: *hhblits annotated* Cell surface protein  db:Pdp70 e-value:1.6e-35 ,0.349547511,0.588571429,0.551020408
FMPC 9: CehA/McbA family metallohydrolase ,0.505090498,0.428571429,0.326530612
FMPC 10: N-6 DNA methylase ,0.363687783,0.262857143,0.224489796
FMPC 11: pullulanase ,0.502828054,0.411428571,0.367346939
FMPC 12: MBG domain-containing protein ,0.49010181,0.301904762,0.510204082
FMPC 13: conjugative transfer relaxase/helicase TraI ,0.458710407,0.451428571,0.469387755
FMPC 14: N-6 DNA methylase ,0.322963801,0.552380952,0.591836735
FMPC 15: tape measure protein ,0.42081448,0.354285714,0.5
FMPC 16: AAA domain-containing protein ,0.551470588,0.420952381,0.397959184
FMPC 17: tape measure protein ,0.601244344,0.493333333,0.510204082
FMPC 18: Ig-like domain-containing protein ,0.495192308,0.44952381,0.448979592
FMPC 19: *hhblits annotated* Putative autotransporter protein  db:Pdp70 e-value:4.9e-211 ,0.360859729,0.460952381,0.367346939
FMPC 20: DEAD/DEAH box helicase family protein ,0.537895928,0.36952381,0.306122449
FMPC 21: tape measure protein ,0.483031674,0.441904762,0.510204082
FMPC 22: bifunctional glycosyltransferase/CDP-glycerol:glycerophosphate glycerophosphotransferase ,0.5260181,0.398095238,0.571428571
FMPC 23: *hhblits annotated* Phage tail length tape-measure protein  db:Pdp70 e-value:0.0 ,0.514705882,0.539047619,0.540816327
FMPC 24: dsDNA nuclease domain-containing protein ,0.5,0.5,0.5
FMPC 25: type VII secretion protein EssC ,0.570135747,0.478095238,0.551020408
FMPC 26: type VII secretion protein EssC ,0.555995475,0.327619048,0.530612245
FMPC 27: type VII secretion protein EssC ,0.571549774,0.411428571,0.489795918
FMPC 28: glutamate synthase-related protein ,0.503959276,0.451428571,0.428571429
FMPC 29: *hhblits annotated* Chromosome segregation ATPase  db:Pdp70 e-value:1.7e-36 ,0.514705882,0.5,0.5
FMPC 30: phage tail protein ,0.393099548,0.363809524,0.56122449
FMPC 31: tape measure protein ,0.385180995,0.613333333,0.469387755
FMPC 32: zincin-like metallopeptidase domain-containing protein ,0.474830317,0.222857143,0.653061224
FMPC 33: S8 family serine peptidase ,0.507352941,0.5,0.5
FMPC 34: PolC-type DNA polymerase III ,0.587104072,0.506666667,0.530612245
FMPC 35: VaFE repeat-containing surface-anchored protein ,0.448812217,0.39047619,0.459183673
FMPC 36: FtsX-like permease family protein ,0.581447964,0.693333333,0.653061224
FMPC 37: BspA family leucine-rich repeat surface protein ,0.507352941,0.5,0.5
FMPC 38: tape measure protein ,0.40158371,0.468571429,0.265306122
FMPC 39: SpaA isopeptide-forming pilin-related protein ,0.5,0.5,0.5
FMPC 40: type II CRISPR RNA-guided endonuclease Cas9 ,0.432692308,0.518095238,0.551020408
FMPC 41: phage tail protein ,0.5,0.5,0.5
FMPC 42: phage tail protein ,0.48699095,0.476190476,0.510204082
FMPC 43: S8 family serine peptidase ,0.529411765,0.5,0.428571429
FMPC 44: VWA domain-containing protein ,0.538744344,0.361904762,0.734693878
FMPC 45: *hhblits annotated* Collagen triple helix repeat family protein  db:Pdp70 e-value:1.1000000000000001e-30 ,0.418552036,0.558095238,0.571428571
FMPC 46: *hhblits annotated* Gp35  db:Pdp70 e-value:0.0 ,0.496040724,0.434285714,0.510204082
FMPC 47: Eco57I restriction-modification methylase domain-containing protein ,0.473699095,0.306666667,0.795918367
FMPC 48: type I pullulanase ,0.558257919,0.744761905,0.632653061
FMPC 49: S-layer homology domain-containing protein ,0.462669683,0.432380952,0.591836735
FMPC 50: LPXTG-anchored aggregation substance ,0.524886878,0.453333333,0.530612245
FMPC 51: P-loop NTPase fold protein ,0.497171946,0.39047619,0.530612245
FMPC 52: phosphoribosylformylglycinamidine synthase ,0.463235294,0.434285714,0.428571429
FMPC 53: zincin-like metallopeptidase domain-containing protein ,0.449095023,0.31047619,0.551020408
FMPC 54: DNA-directed RNA polymerase subunit beta ,0.34841629,0.417142857,0.367346939
FMPC 55: DUF6079 family protein ,0.496606335,0.179047619,0.448979592
FMPC 56: SpaA isopeptide-forming pilin-related protein ,0.525452489,0.438095238,0.408163265
FMPC 57: carbamoyl phosphate synthase large subunit ,0.484728507,0.333333333,0.357142857
FMPC 58: BspA family leucine-rich repeat surface protein ,0.5,0.5,0.5
FMPC 59: BREX system P-loop protein BrxC ,0.428167421,0.458095238,0.530612245
FMPC 60: *hhblits annotated* Phage protein  db:Pdp70 e-value:6.6e-150 ,0.511877828,0.567619048,0.408163265
FMPC 61: dynamin family protein ,0.439479638,0.321904762,0.673469388
FMPC 62: BREX-1 system adenine-specific DNA-methyltransferase PglX ,0.542420814,0.548571429,0.204081633
FMPC 63: BREX system P-loop protein BrxC ,0.505656109,0.405714286,0.469387755
FMPC 64: *hhblits annotated* Putative SEC-C motif domain protein  db:Pdp70 e-value:1.7e-39 ,0.431278281,0.314285714,0.326530612
FMPC 65: BREX-1 system adenine-specific DNA-methyltransferase PglX ,0.407239819,0.295238095,0.551020408
FMPC 66: DNA-directed RNA polymerase subunit beta' ,0.581447964,0.44952381,0.469387755
FMPC 67: AAA family ATPase ,0.479072398,0.487619048,0.551020408
FMPC 68: helicase-exonuclease AddAB subunit AddB ,0.503959276,0.52,0.428571429
FMPC 69: BREX system P-loop protein BrxC ,0.452488688,0.512380952,0.224489796
FMPC 70: phage tail protein ,0.488404977,0.5,0.428571429
FMPC 71: phage tail length tape measure family protein ,0.494343891,0.382857143,0.408163265
FMPC 72: chromosome segregation protein SMC ,0.429864253,0.533333333,0.510204082
FMPC 73: BREX-1 system adenine-specific DNA-methyltransferase PglX ,0.556561086,0.527619048,0.285714286
FMPC 74: BREX system P-loop protein BrxC ,0.54581448,0.561904762,0.387755102
FMPC 75: S8 family serine peptidase ,0.507352941,0.5,0.428571429
FMPC 76: DNA-directed RNA polymerase subunit beta ,0.578054299,0.422857143,0.510204082
FMPC 77: transcription-repair coupling factor ,0.675904977,0.563809524,0.673469388
FMPC 78: BREX-1 system adenine-specific DNA-methyltransferase PglX ,0.46040724,0.44,0.367346939
FMPC 79: DUF5693 family protein ,0.468325792,0.5,0.346938776
FMPC 80: AAA domain-containing protein ,0.500565611,0.36952381,0.653061224
FMPC 81: type I restriction-modification system endonuclease ,0.556561086,0.343809524,0.489795918
FMPC 82: SusC/RagA family TonB-linked outer membrane protein ,0.580882353,0.434285714,0.591836735
FMPC 83: *hhblits annotated* DUF2339 domain-containing protein db:Uniclust30_2023 e-value:4.0 ,0.5,0.5,0.5
FMPC 84: DNA polymerase III subunit alpha ,0.698529412,0.573333333,0.734693878
FMPC 85: chromosome segregation protein SMC ,0.442873303,0.207619048,0.612244898
FMPC 86: methionine synthase ,0.477941176,0.403809524,0.571428571
FMPC 87: CDP-glycerol glycerophosphotransferase family protein ,0.5,0.5,0.5
FMPC 88: phage tail tape measure protein ,0.537895928,0.35047619,0.734693878
FMPC 89: pyruvate carboxylase ,0.673642534,0.363809524,0.693877551
FMPC 90: *hhblits annotated* ATP-binding protein  db:Pdp70 e-value:1.1e-37 ,0.5,0.5,0.5
FMPC 91: phage tail tape measure protein ,0.510180995,0.446666667,0.459183673
"FMPC 92: *hhblits annotated* Alpha-glucosidase, family 31 of glycosyl hydrolases  db:Pdp70 e-value:5.9e-188 ",0.571832579,0.394285714,0.418367347
FMPC 93: *hhblits annotated* Phage protein  db:Pdp70 e-value:1.8e-43 ,0.412330317,0.379047619,0.428571429
FMPC 94: host specificity protein J ,0.427036199,0.419047619,0.530612245
FMPC 95: phage tail tape measure protein ,0.557126697,0.358095238,0.693877551
FMPC 96: lytic transglycosylase domain-containing protein ,0.477941176,0.476190476,0.428571429
FMPC 97: DEAD/DEAH box helicase family protein ,0.615384615,0.377142857,0.755102041
FMPC 98: DEAD/DEAH box helicase family protein ,0.628393665,0.419047619,0.367346939
FMPC 99: DUF2723 domain-containing protein ,0.44739819,0.43047619,0.469387755
FMPC 100: preprotein translocase subunit SecA ,0.350678733,0.386666667,0.428571429
FMPC 101: DNA polymerase III subunit alpha ,0.525452489,0.478095238,0.714285714
FMPC 102: *hhblits annotated* SCP-like protein  db:Pdp70 e-value:2.5e-33 ,0.493778281,0.382857143,0.357142857
FMPC 103: YodL domain-containing protein ,0.613687783,0.401904762,0.489795918
FMPC 104: phage tail tape measure protein ,0.486425339,0.333333333,0.632653061
FMPC 105: efflux RND transporter permease subunit ,0.316176471,0.594285714,0.346938776
FMPC 106: BNR-4 repeat-containing protein ,0.515837104,0.518095238,0.591836735
FMPC 107: CDP-glycerol glycerophosphotransferase family protein ,0.5,0.539047619,0.510204082
FMPC 108: DNA polymerase ,0.5,0.5,0.5
FMPC 109: alpha-amylase family glycosyl hydrolase ,0.57861991,0.342857143,0.163265306
FMPC 110: carbamoyl-phosphate synthase large subunit ,0.493778281,0.40952381,0.367346939
FMPC 111: efflux RND transporter permease subunit ,0.499434389,0.48952381,0.510204082
FMPC 112: STY4851/ECs_5259 family protein ,0.489253394,0.377142857,0.387755102
FMPC 113: isoleucine--tRNA ligase ,0.588800905,0.291428571,0.387755102
