FMPC,pvalue,auc,p.fdr
260,0.0068,0.334276018,0.01032973
351,0.0028,0.333144796,0.008292308
392,0.0098,0.654411765,0.011433333
587,6.00E-04,0.70361991,0.0042
1535,0.0108,0.343608597,0.011977778
1640,0.0016,0.70361991,0.006533333
1878,0.0044,0.33540724,0.008292308
2249,0.0044,0.333710407,0.008292308
2306,0.0074,0.666289593,0.01032973
2442,0.002,0.691176471,0.007538462
2549,0.007,0.337669683,0.01032973
3085,2.00E-04,0.730769231,0.003266667
3221,0.0072,0.338235294,0.01032973
3310,0.0078,0.343325792,0.01032973
4252,0.0138,0.3489819,0.0138
4285,0.0024,0.685520362,0.008292308
4368,4.00E-04,0.726244344,0.00392
4972,0.005,0.330882353,0.00875
5143,0.001,0.696832579,0.005444444
6237,0,0.729638009,0
6299,0.003,0.674208145,0.008292308
6380,0.0086,0.657239819,0.01078
6587,0.0014,0.695135747,0.006236364
6680,0.004,0.67081448,0.008292308
7223,0.004,0.67081448,0.008292308
7787,0.0034,0.682126697,0.008292308
8109,0.005,0.668552036,0.00875
8862,0.0038,0.677884615,0.008292308
9043,0.011,0.657239819,0.011977778
9045,0.012,0.347285068,0.012510638
10832,0.0076,0.340497738,0.01032973
10945,0.0088,0.347285068,0.01078
11012,2.00E-04,0.290158371,0.003266667
11404,6.00E-04,0.705316742,0.0042
12239,0.0066,0.338235294,0.01032973
12392,0.0012,0.692307692,0.00588
12458,4.00E-04,0.712669683,0.00392
12749,0.0084,0.345588235,0.01078
13210,0.0038,0.325226244,0.008292308
16289,0.001,0.705882353,0.005444444
16437,0.0042,0.326357466,0.008292308
16602,0.0118,0.346153846,0.012510638
16899,0.0134,0.347285068,0.013679167
17735,0.0028,0.324943439,0.008292308
18808,0.0038,0.325226244,0.008292308
18821,0.0062,0.335972851,0.01032973
19500,0.0076,0.330882353,0.01032973
20601,0.0096,0.347850679,0.011433333
21467,0.011,0.346719457,0.011977778
