,ERR2162200,ERR2162201,ERR2162202,ERR2162203,ERR2162204,ERR2162205,ERR2162206,ERR2162207,ERR2162208,ERR2162209,ERR2162210,ERR2162211,ERR2162212,ERR2162213,ERR2162214,ERR2162215,ERR2162216,ERR2162217,ERR2162218,ERR2162219,ERR2162220,ERR2162221,ERR2162222,ERR2162223,ERR2162224
FMPC 260: aconitate hydratase AcnA ,0.409121679,3.376918817,0.648602713,0.689070334,0.372060951,0.300701583,3.408301897,1.847160562,0.316138524,0.724775247,3.27934508,0.152093028,0.523021689,0.546156858,0.326365836,0.301627577,1.603434566,0,1.274667717,0.551321948,0,0.131712462,0.450616725,0.783112222,9.370945222
FMPC 351: TraG family conjugative transposon ATPase ,821.8027161,550.5455412,493.6827537,901.0743066,340.6838108,526.8523044,803.247845,755.0408732,339.1376015,658.6207617,670.6958421,582.0853678,578.3312324,832.1940998,430.9008134,887.1141244,528.2735941,557.3448602,664.2563859,407.6106932,311.3492672,165.8786749,692.0346359,314.9975686,236.3271402
FMPC 392: glycoside hydrolase family 3 protein ,3.518446437,11.3162705,2.282120656,4.249267059,4.030660303,5.366366713,2.667366702,11.08296337,7.771738712,11.94629545,7.047103257,7.09767465,10.19892293,5.337442022,8.028599569,5.868027406,7.366503731,11.82224283,13.55782936,8.30045821,8.984006504,9.773064696,10.06377353,0.671239048,5.003621986
FMPC 587: PTS transporter subunit IIABC ,2.413817905,7.400481664,13.14021051,10.16378742,7.131168228,8.650953236,12.92931915,7.668515059,5.9539422,17.14468343,5.163224168,2.332093099,18.8287808,7.248991025,12.1408091,8.555254909,4.438492785,14.6300255,13.32607159,17.64230232,9.157331388,11.27458677,10.58949304,3.952852169,13.18873772
FMPC 1535: anthranilate phosphoribosyltransferase ,0,16.95644342,1.081004521,0.746492862,0.248040634,4.186691272,0.703888435,17.35211437,0.316138524,0.449860498,14.19886646,0,1.830575911,0.273078429,0.195819502,3.071117147,0.092952728,0.258611562,11.51063575,2.572835755,0.40442473,0.263424924,0.375513938,2.051008201,86.56555263
FMPC 1640: ATP-binding cassette domain-containing protein ,4.827635809,10.95702382,43.21615853,11.42708304,11.6579098,15.05821004,18.89384747,16.00872487,7.692704081,14.19559795,7.849496202,9.379070073,17.91349284,5.536044516,9.888884835,8.143944577,6.529929175,10.27057345,19.08138947,15.16135356,6.759670489,46.54718415,11.52827789,7.45821164,19.08896249
"FMPC 1878: UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase ",0.081824336,17.13606676,0.144133936,0.689070334,0,5.875246315,0.629794916,15.89677574,0.052689754,0,15.66410575,0.25348838,1.673669404,0.223427806,0.35900242,3.043696458,0.139429093,0.221667053,11.04712022,2.909754723,0.202212365,0.395137387,0,2.386627725,91.30887058
FMPC 2249: adenosylhomocysteinase ,22.17439499,17.9982588,10.54579966,16.65253307,11.28584885,32.24446206,2.000525027,17.79991087,21.78721327,42.21191009,19.15277073,23.11814029,12.76172921,9.18536534,9.790975084,10.88601346,18.38140206,26.00893422,18.42474246,15.7126755,21.55006062,9.799407189,25.79780752,8.875271852,28.63344374
FMPC 2306: glycoside-pentoside-hexuronide (GPH):cation symporter ,6.7505077,18.50120416,24.9832156,31.00816502,18.54103739,27.98837812,20.30162434,16.62444505,14.80582087,17.06970668,12.41964732,7.528604896,38.02367677,12.36300524,19.48404042,7.622951489,2.881534583,15.99697232,19.69941018,33.38560682,19.81681177,43.96561989,29.5529469,7.159883175,12.84166568
FMPC 2442: CpaF family protein ,0.736419022,1.149589385,1.297205426,1.435563196,0.372060951,0.624534057,1.407776871,1.343389499,0.447862909,0.374883749,0.627959696,0.735116303,1.255252053,0.372379676,0.750641423,0.46615171,0.278858185,1.2561133,1.351920306,1.837739825,0.259987326,3.793318912,0.938784844,0.596656931,1.214752158
