"protein","clstr","name"
"WP_110225544.1",0,"MULTISPECIES CARBOHYDRATE BINDING DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214708613.1",1,"MULTISPECIES CARBOXYPEPTIDASE REGULATORYLIKE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_149877067.1",2,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_215976231.1",3,"MULTISPECIES SDR FAMILY NADPDEPENDENT OXIDOREDUCTASE BACTERIA"
"WP_142660584.1",4,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_033780703.1",5,"MULTISPECIES SNF2RELATED PROTEIN BACTERIA"
"WP_215976694.1",6,"MULTISPECIES CARBOXYPEPTIDASELIKE REGULATORY DOMAINCONTAINING PROTEIN BACTERIA"
"WP_142426816.1",7,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_008766338.1",8,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214706173.1",9,"MULTISPECIES CEHAMCBA FAMILY METALLOHYDROLASE BACTERIA"
"WP_004291462.1",10,"MULTISPECIES N6 DNA METHYLASE BACTERIA"
"WP_214705110.1",11,"MULTISPECIES PULLULANASE BACTERIA"
"WP_215975275.1",12,"MULTISPECIES MBG DOMAINCONTAINING PROTEIN BACTERIA"
"WP_032445647.1",13,"MULTISPECIES CONJUGATIVE TRANSFER RELAXASEHELICASE TRAI BACTERIA"
"WP_005807176.1",14,"MULTISPECIES N6 DNA METHYLASE BACTERIA"
"WP_157010636.1",15,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_142688929.1",16,"MULTISPECIES AAA DOMAINCONTAINING PROTEIN BACTERIA"
"WP_142961661.1",17,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_214706011.1",18,"MULTISPECIES IGLIKE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_004293579.1",19,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_142658688.1",20,"MULTISPECIES DEADDEAH BOX HELICASE FAMILY PROTEIN BACTERIA"
"WP_142423316.1",21,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_142434673.1",22,"MULTISPECIES BIFUNCTIONAL GLYCOSYLTRANSFERASECDPGLYCEROLGLYCEROPHOSPHATE GLYCEROPHOSPHOTRANSFERASE BACTERIA"
"WP_028020431.1",23,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_142972253.1",24,"MULTISPECIES DSDNA NUCLEASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214706001.1",25,"MULTISPECIES TYPE VII SECRETION PROTEIN ESSC BACTERIA"
"WP_142422228.1",26,"MULTISPECIES TYPE VII SECRETION PROTEIN ESSC BACTERIA"
"WP_094911306.1",27,"MULTISPECIES TYPE VII SECRETION PROTEIN ESSC BACTERIA"
"WP_214726032.1",28,"MULTISPECIES GLUTAMATE SYNTHASERELATED PROTEIN BACTERIA"
"WP_214726603.1",29,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_177952498.1",30,"MULTISPECIES PHAGE TAIL PROTEIN BACTERIA"
"WP_004327431.1",31,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_011114055.1",32,"MULTISPECIES ZINCINLIKE METALLOPEPTIDASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_214727781.1",33,"MULTISPECIES S8 FAMILY SERINE PEPTIDASE BACTERIA"
"WP_214704102.1",34,"MULTISPECIES POLCTYPE DNA POLYMERASE III BACTERIA"
"WP_050442501.1",35,"MULTISPECIES VAFE REPEATCONTAINING SURFACEANCHORED PROTEIN BACTERIA"
"WP_173815438.1",36,"MULTISPECIES FTSXLIKE PERMEASE FAMILY PROTEIN BACTERIA"
"WP_142660634.1",37,"MULTISPECIES BSPA FAMILY LEUCINERICH REPEAT SURFACE PROTEIN BACTERIA"
"WP_167770305.1",38,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_185931986.1",39,"MULTISPECIES SPAA ISOPEPTIDEFORMING PILINRELATED PROTEIN BACTERIA"
"WP_010922251.1",40,"MULTISPECIES TYPE II CRISPR RNAGUIDED ENDONUCLEASE CAS9 BACTERIA"
"WP_142434879.1",41,"MULTISPECIES PHAGE TAIL PROTEIN BACTERIA"
"WP_142430045.1",42,"MULTISPECIES PHAGE TAIL PROTEIN BACTERIA"
"WP_214723922.1",43,"MULTISPECIES S8 FAMILY SERINE PEPTIDASE BACTERIA"
"WP_002286778.1",44,"MULTISPECIES VWA DOMAINCONTAINING PROTEIN BACTERIA"
"WP_149192755.1",45,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_048336150.1",46,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_142427675.1",47,"MULTISPECIES ECO57I RESTRICTIONMODIFICATION METHYLASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_173815416.1",48,"MULTISPECIES TYPE I PULLULANASE BACTERIA"
"WP_214726395.1",49,"MULTISPECIES SLAYER HOMOLOGY DOMAINCONTAINING PROTEIN BACTERIA"
"WP_142483499.1",50,"MULTISPECIES LPXTGANCHORED AGGREGATION SUBSTANCE BACTERIA"
"WP_214706695.1",51,"MULTISPECIES PLOOP NTPASE FOLD PROTEIN BACTERIA"
"WP_144725510.1",52,"MULTISPECIES PHOSPHORIBOSYLFORMYLGLYCINAMIDINE SYNTHASE BACTERIA"
"WP_031626063.1",53,"MULTISPECIES ZINCINLIKE METALLOPEPTIDASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_056069315.1",54,"MULTISPECIES DNADIRECTED RNA POLYMERASE SUBUNIT BETA BACTERIA"
"WP_142434925.1",55,"MULTISPECIES DUF6079 FAMILY PROTEIN BACTERIA"
"WP_142447259.1",56,"MULTISPECIES SPAA ISOPEPTIDEFORMING PILINRELATED PROTEIN BACTERIA"
"WP_046941582.1",57,"MULTISPECIES CARBAMOYL PHOSPHATE SYNTHASE LARGE SUBUNIT BACTERIA"
"WP_142660636.1",58,"MULTISPECIES BSPA FAMILY LEUCINERICH REPEAT SURFACE PROTEIN BACTERIA"
"WP_142449058.1",59,"MULTISPECIES BREX SYSTEM PLOOP PROTEIN BRXC BACTERIA"
"WP_154398271.1",60,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_214727325.1",61,"MULTISPECIES DYNAMIN FAMILY PROTEIN BACTERIA"
"WP_141426750.1",62,"MULTISPECIES BREX1 SYSTEM ADENINESPECIFIC DNAMETHYLTRANSFERASE PGLX BACTERIA"
"WP_086519900.1",63,"MULTISPECIES BREX SYSTEM PLOOP PROTEIN BRXC BACTERIA"
"WP_002381044.1",64,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_086519899.1",65,"MULTISPECIES BREX1 SYSTEM ADENINESPECIFIC DNAMETHYLTRANSFERASE PGLX BACTERIA"
"WP_024633592.1",66,"MULTISPECIES DNADIRECTED RNA POLYMERASE SUBUNIT BETA BACTERIA"
"WP_214705044.1",67,"MULTISPECIES AAA FAMILY ATPASE BACTERIA"
"WP_214704958.1",68,"MULTISPECIES HELICASEEXONUCLEASE ADDAB SUBUNIT ADDB BACTERIA"
"WP_214723414.1",69,"MULTISPECIES BREX SYSTEM PLOOP PROTEIN BRXC BACTERIA"
"WP_046941584.1",70,"MULTISPECIES PHAGE TAIL PROTEIN BACTERIA"
"WP_029602981.1",71,"MULTISPECIES PHAGE TAIL LENGTH TAPE MEASURE FAMILY PROTEIN BACTERIA"
"WP_214703973.1",72,"MULTISPECIES CHROMOSOME SEGREGATION PROTEIN SMC BACTERIA"
"WP_117761889.1",73,"MULTISPECIES BREX1 SYSTEM ADENINESPECIFIC DNAMETHYLTRANSFERASE PGLX BACTERIA"
"WP_117761890.1",74,"MULTISPECIES BREX SYSTEM PLOOP PROTEIN BRXC BACTERIA"
"WP_214723253.1",75,"MULTISPECIES S8 FAMILY SERINE PEPTIDASE BACTERIA"
"WP_024633593.1",76,"MULTISPECIES DNADIRECTED RNA POLYMERASE SUBUNIT BETA BACTERIA"
"WP_214710341.1",77,"MULTISPECIES TRANSCRIPTIONREPAIR COUPLING FACTOR BACTERIA"
"WP_214723416.1",78,"MULTISPECIES BREX1 SYSTEM ADENINESPECIFIC DNAMETHYLTRANSFERASE PGLX BACTERIA"
"WP_214723064.1",79,"MULTISPECIES DUF5693 FAMILY PROTEIN BACTERIA"
"WP_086519895.1",80,"MULTISPECIES AAA DOMAINCONTAINING PROTEIN BACTERIA"
"WP_185952856.1",81,"MULTISPECIES TYPE I RESTRICTIONMODIFICATION SYSTEM ENDONUCLEASE BACTERIA"
"WP_163871370.1",82,"MULTISPECIES SUSCRAGA FAMILY TONBLINKED OUTER MEMBRANE PROTEIN BACTERIA"
"WP_214708472.1",83,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_117801856.1",84,"MULTISPECIES DNA POLYMERASE III SUBUNIT ALPHA BACTERIA"
"WP_144724280.1",85,"MULTISPECIES CHROMOSOME SEGREGATION PROTEIN SMC BACTERIA"
"WP_214705738.1",86,"MULTISPECIES METHIONINE SYNTHASE BACTERIA"
"WP_142424441.1",87,"MULTISPECIES CDPGLYCEROL GLYCEROPHOSPHOTRANSFERASE FAMILY PROTEIN BACTERIA"
"WP_142431640.1",88,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_214724592.1",89,"MULTISPECIES PYRUVATE CARBOXYLASE BACTERIA"
"WP_214705542.1",90,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_142422851.1",91,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_214705390.1",92,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_130084745.1",93,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_153021371.1",94,"MULTISPECIES HOST SPECIFICITY PROTEIN J BACTERIA"
"WP_142971869.1",95,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_000440163.1",96,"MULTISPECIES LYTIC TRANSGLYCOSYLASE DOMAINCONTAINING PROTEIN BACTERIA"
"WP_144277182.1",97,"MULTISPECIES DEADDEAH BOX HELICASE FAMILY PROTEIN BACTERIA"
"WP_077071166.1",98,"MULTISPECIES DEADDEAH BOX HELICASE FAMILY PROTEIN BACTERIA"
"WP_011108712.1",99,"MULTISPECIES DUF2723 DOMAINCONTAINING PROTEIN BACTERIA"
"WP_215975310.1",100,"MULTISPECIES PREPROTEIN TRANSLOCASE SUBUNIT SECA BACTERIA"
"WP_214704809.1",101,"MULTISPECIES DNA POLYMERASE III SUBUNIT ALPHA BACTERIA"
"WP_217108500.1",102,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
"WP_009003583.1",103,"MULTISPECIES YODL DOMAINCONTAINING PROTEIN BACTERIA"
"WP_102811980.1",104,"MULTISPECIES PHAGE TAIL TAPE MEASURE PROTEIN BACTERIA"
"WP_142688956.1",105,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_177963861.1",106,"MULTISPECIES BNR4 REPEATCONTAINING PROTEIN BACTERIA"
"WP_142424439.1",107,"MULTISPECIES CDPGLYCEROL GLYCEROPHOSPHOTRANSFERASE FAMILY PROTEIN BACTERIA"
"WP_217468963.1",108,"MULTISPECIES DNA POLYMERASE BACTERIA"
"WP_214723523.1",109,"MULTISPECIES ALPHAAMYLASE FAMILY GLYCOSYL HYDROLASE BACTERIA"
"WP_103633736.1",110,"MULTISPECIES CARBAMOYLPHOSPHATE SYNTHASE LARGE SUBUNIT BACTERIA"
"WP_214727820.1",111,"MULTISPECIES EFFLUX RND TRANSPORTER PERMEASE SUBUNIT BACTERIA"
"WP_064396527.1",112,"MULTISPECIES STY4851ECS5259 FAMILY PROTEIN BACTERIA"
"WP_103633606.1",113,"MULTISPECIES ISOLEUCINETRNA LIGASE BACTERIA"
"WP_002410135.1",114,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_214725861.1",115,"MULTISPECIES METHYLMALONYLCOA MUTASE FAMILY PROTEIN BACTERIA"
"WP_142423330.1",116,"MULTISPECIES SNF2RELATED PROTEIN BACTERIA"
"WP_151877604.1",117,"MULTISPECIES TAPE MEASURE PROTEIN BACTERIA"
"WP_214704975.1",118,"MULTISPECIES HYPOTHETICAL PROTEIN BACTERIA"
